,ID_full,Player,Nation,First Name,Last Name,Position Primary,Position Secondary,Squad,League,Age,Born,90s,Assists,G+A,Goals without Penalties,Yellow Cards,Red Cards,xAssistedGoals,npxG+xAG,Prog. Carries,Prog. Passes,Progressive Passes received,Goals,Shots,Shots on Target,Shots on Target %,Goals per Shot,Goals per Shot on Target,xG,npxG,npxG per Shot,npxG Over/Underperformance,Passes played,Pass %,Progressive Pass Distance,Short Passes Completed,% Short Passes Completed,Medium Passes Completed,% Medium Passes Completed,Long Passes Completed,% Long Passes Completed,xA,xA Over/Underperformance,Key Passes,Passes into final 1/3,Passes into Penalty Area,Crosses into Penalty Area,Through Balls,Crosses,Shot Creating Actions,Goal Creating Actions,Tackles,Tackles Won,Tackles in Defensive 3rd,Tackles in Midfield,Tackles in Attacking 3rd,Dribblers Tackled,Dribbles Challenged,% of dribblers tackled,Blocks,Shots Blocked,Interceptions,Tackles + Int,Clearances,Errors leading to shots,Touches,Touches own PA,Touches in Def. 1/3,Touches in Midfield,Touches in Final 1/3,Touches Opp. PA,Take-Ons Attempted,Take-Ons Completed,% Successful Take-Ons,% Tackled during Take-Ons,Carries,Progressive Carries Distance,Carries into final 1/3,Carries into Penalty Area,Dispossesed,Fouls Committed,Fouls drawn,Offsides,Ball Recoveries,Aerials won,% Aerials won
10,zakaria aboukhlal_2000_toulouse,Zakaria Aboukhlal,MAR,Zakaria,Aboukhlal,MF,FW,Toulouse,Ligue 1,23,2000,8.4,0,3,2,2,0,0.2,2.2,23,20,75,3,27,7,25.9,0.07,0.29,2.8,2.0,0.07,0.0,140,71.4,599,70,73.7,53,80.3,6,75.0,1.1,-0.2,5,10,9,1,0,5,20,2,9,8,1,5,3,3,12,25.0,9,1,1,10,2,0,305,1,27,123,161,38,31,8,25.8,71.0,233,745,13,8,12,17,15,8,21,6,46.2
11,abdel abqar_1999_alavés,Abdel Abqar,MAR,Abdel,Abqar,DF,,Alavés,La Liga,24,1999,25.7,0,0,0,10,0,0.2,0.6,7,49,1,0,10,3,30.0,0.00,0.00,0.5,0.5,0.05,-0.5,553,72.6,4872,141,86.0,302,89.1,99,44.0,0.2,-0.2,3,61,2,0,0,2,12,0,35,19,28,5,2,21,35,60.0,31,26,23,58,115,0,1032,191,570,422,42,21,5,3,60.0,20.0,492,1418,6,0,1,33,23,1,109,39,52.0
12,tammy abraham_1997_roma,Tammy Abraham,ENG,Tammy,Abraham,FW,,Roma,Serie A,25,1997,2.7,0,1,1,1,0,0.1,0.7,6,4,15,1,4,2,50.0,0.25,0.50,0.6,0.6,0.15,+0.4,19,47.5,75,14,56.0,4,44.4,0,0.0,0.0,-0.1,3,1,1,0,0,2,3,1,3,1,0,1,2,0,0,0,1,0,0,3,4,0,69,4,4,31,34,9,6,2,33.3,66.7,37,111,2,2,2,6,5,2,1,6,54.5
13,francesco acerbi_1988_inter,Francesco Acerbi,ITA,Francesco,Acerbi,DF,,Inter,Serie A,35,1988,26.5,1,4,3,1,0,1.8,3.4,21,87,24,3,15,6,40.0,0.20,0.50,1.6,1.6,0.11,+1.4,1615,90.7,9174,601,92.5,856,94.3,132,73.7,1.3,-0.8,7,58,5,2,0,9,22,1,22,13,16,6,0,11,14,78.6,20,13,32,54,77,1,1977,219,941,946,98,25,3,2,66.7,33.3,1211,3081,11,0,1,19,24,3,102,70,65.4
14,joshua acheampong_2006_chelsea,Joshua Acheampong,ENG,Joshua,Acheampong,DF,,Chelsea,Premier League,17,2006,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,50.0,7,0,0,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,5,5,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0.0
15,marcos acuña_1991_sevilla,Marcos Acuña,ARG,Marcos,Acuña,DF,,Sevilla,La Liga,31,1991,14.4,2,3,1,7,0,1.5,1.8,23,59,42,1,9,4,44.4,0.11,0.25,0.3,0.3,0.03,+0.7,628,74.1,4928,260,87.5,262,79.9,94,51.4,2.1,+0.5,23,52,19,12,1,82,49,4,33,21,20,12,1,9,14,64.3,12,2,4,37,25,0,984,33,270,476,253,10,21,10,47.6,38.1,473,1224,20,4,16,18,17,1,99,13,54.2
16,akor adams_2000_montpellier,Akor Adams,NGA,Akor,Adams,FW,,Montpellier,Ligue 1,23,2000,25.0,1,9,8,2,0,1.9,14.3,40,17,127,8,79,32,40.5,0.10,0.25,12.4,12.4,0.16,-4.4,250,64.9,786,125,67.6,89,70.6,14,48.3,1.4,-0.9,17,14,4,2,2,12,43,3,12,4,3,4,5,3,7,42.9,9,2,5,17,11,0,638,17,61,266,323,118,44,14,31.8,59.1,442,1004,23,22,30,39,22,26,55,54,43.9
17,tyler adams_1999_bournemouth,Tyler Adams,USA,Tyler,Adams,MF,,Bournemouth,Premier League,24,1999,1.3,0,0,0,0,0,0.1,0.1,4,5,1,0,0,0,0,0,0,0.0,0.0,0,0.0,59,83.1,262,35,89.7,18,75.0,6,75.0,0.0,-0.1,1,9,0,0,0,1,3,0,4,3,1,3,0,2,3,66.7,2,0,4,8,2,0,91,3,23,54,14,4,3,2,66.7,0.0,44,116,1,2,0,0,3,0,7,2,40.0
18,junior adamu_2001_freiburg,Junior Adamu,AUT,Junior,Adamu,FW,MF,Freiburg,Bundesliga,22,2001,1.2,0,0,0,0,0,0.1,0.2,1,1,5,0,2,1,50.0,0.00,0.00,0.1,0.1,0.03,-0.1,18,60.0,36,15,88.2,1,11.1,0,0.0,0.0,-0.1,1,0,1,0,0,1,2,0,5,1,1,2,2,1,2,50.0,1,0,0,5,2,0,54,2,7,32,18,6,3,0,0.0,66.7,29,48,1,0,5,7,4,2,10,5,45.5
19,sargis adamyan_1993_köln,Sargis Adamyan,ARM,Sargis,Adamyan,FW,MF,Köln,Bundesliga,30,1993,8.9,2,3,1,2,0,2.0,6.1,15,18,42,1,31,13,41.9,0.03,0.08,4.1,4.1,0.13,-3.1,132,69.8,483,73,77.7,44,68.8,5,55.6,1.1,0.0,12,16,3,0,0,4,31,3,14,9,2,9,3,6,11,54.5,16,1,5,19,7,0,312,8,30,151,136,52,18,7,38.9,55.6,162,344,9,5,17,18,13,8,30,14,27.5
20,tosin adarabioyo_1997_fulham,Tosin Adarabioyo,ENG,Tosin,Adarabioyo,DF,,Fulham,Premier League,25,1997,18.0,0,2,2,2,0,0.1,0.8,10,62,5,2,14,5,35.7,0.14,0.40,0.7,0.7,0.05,+1.3,1028,84.5,7956,277,90.2,627,89.7,115,65.0,0.3,-0.1,2,47,2,0,1,1,10,0,21,11,16,5,0,12,21,57.1,16,11,25,46,80,0,1390,181,713,631,48,29,3,1,33.3,0.0,817,2661,12,1,4,10,5,0,43,56,66.7
21,elijah adebayo_1998_luton town,Elijah Adebayo,ENG,Elijah,Adebayo,FW,,Luton Town,Premier League,25,1998,15.8,0,10,10,1,0,0.7,6.6,16,23,110,10,31,14,45.2,0.32,0.71,5.9,5.9,0.19,+4.1,144,70.6,385,94,77.0,41,68.3,3,50.0,0.4,-0.7,14,9,4,0,1,5,31,5,4,1,1,0,3,1,12,8.3,13,2,6,10,25,0,462,27,52,172,243,82,67,18,26.9,68.7,265,425,15,13,34,27,16,13,34,43,50.0
22,karim adeyemi_2002_dortmund,Karim Adeyemi,GER,Karim,Adeyemi,FW,MF,Dortmund,Bundesliga,21,2002,10.1,1,4,3,6,1,2.0,5.5,52,26,96,3,23,10,43.5,0.13,0.30,3.5,3.5,0.15,-0.5,218,72.9,719,135,83.3,61,73.5,8,44.4,1.6,-1.0,9,9,10,1,0,25,25,2,16,14,9,4,3,8,20,40.0,11,0,3,19,5,0,458,10,69,170,227,63,60,18,30.0,53.3,310,1171,22,27,25,20,19,1,60,14,60.9
23,simon adingra_2002_brighton,Simon Adingra,CIV,Simon,Adingra,FW,,Brighton,Premier League,21,2002,24.7,1,7,6,3,0,3.7,8.0,111,50,278,6,52,22,42.3,0.12,0.27,4.3,4.3,0.08,+1.7,634,75.5,1713,412,83.9,185,75.5,20,52.6,3.5,-2.7,33,17,33,11,7,76,77,4,45,20,23,11,11,19,42,45.2,31,1,19,64,22,0,1159,36,187,364,627,153,123,50,40.7,52.0,773,2996,48,63,28,29,19,17,118,8,40.0
24,nathaniel adjei_2002_lorient,Nathaniel Adjei,GHA,Nathaniel,Adjei,DF,,Lorient,Ligue 1,20,2002,13.8,0,0,0,2,0,0.1,0.5,10,34,4,0,4,0,0.0,0.00,0,0.4,0.4,0.09,-0.4,578,86.4,4097,216,87.8,294,91.0,52,71.2,0.5,-0.1,3,38,1,0,0,2,11,0,13,9,8,3,2,6,7,85.7,15,8,18,31,64,1,811,94,374,397,46,10,5,4,80.0,20.0,554,1609,12,0,5,10,12,2,60,30,57.7
25,amine adli_2000_leverkusen,Amine Adli,MAR,Amine,Adli,MF,FW,Leverkusen,Bundesliga,23,2000,10.0,6,10,4,5,0,2.3,5.6,32,39,131,4,27,15,55.6,0.15,0.27,3.3,3.3,0.12,+0.7,367,80.0,1110,252,86.6,91,82.7,7,38.9,2.9,+3.7,21,19,18,3,2,23,52,9,16,7,2,10,4,7,17,41.2,10,2,6,22,5,0,575,7,52,231,299,66,27,13,48.1,37.0,339,1021,25,16,10,14,28,7,36,21,48.8
26,yacine adli_2000_milan,Yacine Adli,FRA,Yacine,Adli,MF,,Milan,Serie A,23,2000,15.6,2,3,1,3,0,2.2,2.5,30,125,26,1,4,1,25.0,0.25,1.00,0.3,0.3,0.07,+0.7,1125,86.5,6752,489,91.6,487,91.2,120,67.8,2.0,-0.2,22,149,16,6,3,50,62,8,34,17,17,13,4,13,35,37.1,22,8,20,54,15,1,1439,38,262,913,281,8,32,22,68.8,25.0,873,2144,27,3,10,26,9,1,94,15,60.0
27,adryelson_1998_lyon,Adryelson,BRA,Adryelson,,DF,FW,Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,5,100.0,28,3,100.0,2,100.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,9,2,9,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0
28,adson_2000_nantes,Adson,BRA,Adson,,MF,FW,Nantes,Ligue 1,22,2000,2.6,0,0,0,0,0,0.1,0.3,18,15,19,0,5,0,0.0,0.00,0,0.2,0.2,0.05,-0.2,115,88.5,378,61,95.3,40,87.0,8,80.0,0.3,-0.1,3,11,4,0,0,2,9,0,7,6,1,6,0,2,2,100.0,5,0,2,9,2,0,163,0,18,81,68,10,8,5,62.5,37.5,137,451,9,4,4,4,4,0,11,0,0.0
29,michel aebischer_1997_bologna,Michel Aebischer,SUI,Michel,Aebischer,MF,,Bologna,Serie A,26,1997,24.8,1,1,0,8,0,1.5,2.6,26,125,55,0,18,5,27.8,0.00,0.00,1.1,1.1,0.06,-1.1,1370,91.2,5798,729,94.3,525,93.4,79,76.7,1.0,-0.5,17,117,9,1,3,12,40,1,35,20,9,20,6,15,34,44.1,28,6,12,47,22,0,1694,51,405,1032,270,23,25,14,56.0,36.0,1040,2248,23,3,19,37,30,0,135,11,40.7
30,emmanuel agbadou_1997_reims,Emmanuel Agbadou,CIV,Emmanuel,Agbadou,DF,,Reims,Ligue 1,26,1997,28.8,1,2,1,1,0,1.5,3.8,42,179,19,1,32,5,15.6,0.03,0.20,2.4,2.4,0.07,-1.4,1599,87.0,10984,476,90.7,855,92.3,240,70.0,1.6,-0.5,12,172,5,1,5,6,47,1,65,41,38,23,4,44,64,68.8,47,25,55,120,116,1,2198,237,820,1233,165,32,31,15,48.4,51.6,1582,5460,26,2,23,31,10,2,217,45,58.4
31,julen agirrezabala_2000_athletic club,Julen Agirrezabala,ESP,Julen,Agirrezabala,GK,,Athletic Club,La Liga,22,2000,2.6,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,67,67.0,1648,19,100.0,27,100.0,21,39.6,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,84,104,0,0,0,0,0,0,0,58,192,0,0,0,0,0,0,6,1,100.0
32,lucien agoume_2002_inter,Lucien Agoume,FRA,Lucien,Agoume,MF,,Inter,Serie A,21,2002,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,5,100.0,7,3,100.0,2,100.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,1,0,1,0,0.0,100.0,2,5,1,0,0,0,0,0,0,1,100.0
33,lucien agoume_2002_sevilla,Lucien Agoume,FRA,Lucien,Agoume,MF,,Sevilla,La Liga,21,2002,8.6,0,0,0,3,0,0.6,1.5,7,35,9,0,6,2,33.3,0.00,0.00,0.9,0.9,0.14,-0.9,301,83.6,1424,141,86.5,120,88.9,31,73.8,0.3,-0.6,9,36,5,1,1,2,21,1,23,18,7,14,2,9,12,75.0,6,1,7,30,8,0,430,17,108,245,83,12,8,7,87.5,12.5,221,590,3,2,4,19,2,0,48,9,56.3
34,felix agu_1999_werder bremen,Felix Agu,GER,Felix,Agu,DF,MF,Werder Bremen,Bundesliga,23,1999,17.9,0,0,0,2,0,0.6,1.5,32,32,90,0,11,0,0.0,0.00,0,0.9,0.9,0.08,-0.9,488,72.9,2921,246,84.2,203,80.2,27,40.3,1.4,-0.6,7,18,16,7,0,46,24,3,45,29,28,13,4,29,41,70.7,27,7,13,58,41,0,886,61,302,363,229,24,35,14,40.0,48.6,460,1223,16,7,10,15,44,2,71,15,38.5
35,nayef aguerd_1996_west ham,Nayef Aguerd,MAR,Nayef,Aguerd,DF,,West Ham,Premier League,27,1996,20.6,0,1,1,3,1,0.3,1.8,10,68,3,1,14,3,21.4,0.07,0.33,1.5,1.5,0.11,-0.5,943,80.1,8804,335,93.1,452,91.7,143,48.1,0.4,-0.3,4,74,2,0,1,5,14,0,26,14,19,7,0,16,22,72.7,33,24,17,43,85,2,1373,187,709,618,50,21,5,3,60.0,40.0,861,2388,8,0,2,10,6,0,102,48,60.0
36,ruben aguilar_1993_lens,Ruben Aguilar,FRA,Ruben,Aguilar,DF,,Lens,Ligue 1,30,1993,21.4,3,4,1,3,0,2.9,4.3,36,110,162,1,12,4,33.3,0.08,0.25,1.4,1.4,0.12,-0.4,1044,81.4,5987,594,89.2,369,83.3,44,47.3,4.0,+0.1,26,73,42,14,3,75,47,5,53,31,27,23,3,27,45,60.0,35,5,26,79,46,0,1533,64,326,699,518,38,20,6,30.0,60.0,1039,2333,37,2,10,20,24,3,106,24,51.1
37,brandon aguilera_2003_nott'ham forest,Brandon Aguilera,CRC,Brandon,Aguilera,FW,,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,4,50.0,23,3,50.0,1,50.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,4,4,0,0,0,0,0,4,12,1,0,0,3,0,0,0,0,0
38,naouirou ahamada_2002_crystal palace,Naouirou Ahamada,FRA,Naouirou,Ahamada,MF,FW,Crystal Palace,Premier League,21,2002,3.9,0,0,0,4,1,0.0,0.5,19,25,20,0,9,2,22.2,0.00,0.00,0.5,0.5,0.05,-0.5,150,80.2,628,76,85.4,59,85.5,10,71.4,0.1,0.0,1,12,0,0,0,6,9,3,13,9,5,6,2,8,17,47.1,3,0,2,15,4,0,240,6,46,123,75,8,13,7,53.8,38.5,150,486,8,4,11,9,6,1,30,3,50.0
39,anel ahmedhodžić_1999_sheffield utd,Anel Ahmedhodžić,BIH,Anel,Ahmedhodžić,DF,,Sheffield Utd,Premier League,24,1999,29.4,0,2,2,11,1,0.8,4.0,15,43,21,2,19,5,26.3,0.11,0.40,3.1,3.1,0.17,-1.1,745,75.4,5037,334,87.0,345,81.8,53,38.7,0.6,-0.8,7,41,3,1,1,6,26,1,64,36,48,14,2,30,49,61.2,43,26,35,99,137,2,1331,228,730,508,104,33,21,11,52.4,42.9,603,1946,15,3,11,34,13,2,107,51,58.0
40,joseph aidoo_1995_celta vigo,Joseph Aidoo,GHA,Joseph,Aidoo,DF,,Celta Vigo,La Liga,27,1995,4.5,0,0,0,0,0,0.1,0.2,2,12,0,0,3,0,0.0,0.00,0,0.1,0.1,0.03,-0.1,145,78.4,1187,41,89.1,84,82.4,19,54.3,0.0,-0.1,1,8,1,0,1,0,6,1,8,3,6,2,0,4,8,50.0,3,1,4,12,28,0,240,34,132,107,6,2,2,2,100.0,0.0,133,322,0,0,2,4,0,0,22,14,60.9
41,ola aina_1996_nott'ham forest,Ola Aina,NGA,Ola,Aina,DF,,Nott'ham Forest,Premier League,26,1996,18.8,1,2,1,3,0,0.9,1.2,53,68,38,1,11,1,9.1,0.09,1.00,0.3,0.3,0.02,+0.7,603,75.2,4012,328,87.7,217,76.4,45,45.5,1.0,+0.1,11,58,13,6,2,28,38,1,47,31,31,12,4,29,41,70.7,19,3,18,65,51,1,1019,62,340,462,228,13,45,27,60.0,31.1,494,1830,29,11,10,18,25,2,97,16,57.1
42,rayan aït-nouri_2001_wolves,Rayan Aït-Nouri,ALG,Rayan,Aït-Nouri,DF,MF,Wolves,Premier League,22,2001,25.9,1,3,2,7,0,2.4,5.6,67,99,99,2,24,8,33.3,0.08,0.25,3.3,3.3,0.14,-1.3,1005,84.5,3935,627,91.1,297,86.3,38,52.8,1.7,-1.4,25,60,13,4,2,41,65,5,71,44,41,23,7,28,49,57.1,32,6,15,86,38,0,1522,56,406,698,446,49,115,62,53.9,33.9,868,2435,48,8,56,25,53,8,136,21,45.7
43,tosin aiyegun_1998_lorient,Tosin Aiyegun,BEN,Tosin,Aiyegun,MF,FW,Lorient,Ligue 1,25,1998,10.0,0,2,2,0,1,0.3,2.1,17,16,52,2,11,3,27.3,0.18,0.67,1.8,1.8,0.17,+0.2,154,75.9,486,73,74.5,58,82.9,10,66.7,0.3,-0.3,7,7,2,0,0,8,13,1,6,4,2,3,1,3,9,33.3,4,1,2,8,8,0,291,10,54,120,123,21,26,12,46.2,50.0,227,686,10,6,13,13,16,3,33,6,37.5
44,kristoffer ajer_1998_brentford,Kristoffer Ajer,NOR,Kristoffer,Ajer,DF,,Brentford,Premier League,25,1998,20.4,1,3,2,5,0,2.3,3.6,22,61,31,2,12,4,33.3,0.17,0.50,1.3,1.3,0.11,+0.7,610,75.3,3786,291,86.4,263,79.2,45,43.7,2.7,-1.3,12,56,10,3,1,22,27,3,38,21,25,9,4,23,36,63.9,26,11,25,63,79,1,1042,112,430,457,158,58,12,10,83.3,16.7,464,1435,11,5,6,25,10,1,60,63,73.3
45,ludovic ajorque_1994_mainz 05,Ludovic Ajorque,FRA,Ludovic,Ajorque,FW,,Mainz 05,Bundesliga,29,1994,15.1,0,2,2,4,0,1.0,4.7,5,21,88,2,27,6,22.2,0.07,0.33,5.3,3.7,0.14,-1.7,318,70.2,479,172,71.4,105,72.4,15,78.9,1.6,-1.0,16,21,3,0,2,3,37,0,3,2,1,2,0,2,11,18.2,6,2,4,7,11,0,603,12,53,314,238,85,11,2,18.2,72.7,260,291,6,1,10,28,15,5,49,78,46.2
46,manuel akanji_1995_manchester city,Manuel Akanji,SUI,Manuel,Akanji,DF,MF,Manchester City,Premier League,28,1995,27.9,0,2,2,4,1,0.5,2.4,46,148,36,2,15,5,33.3,0.13,0.40,1.9,1.9,0.13,+0.1,2180,93.4,9787,1091,96.0,923,94.7,126,77.3,1.8,-0.5,13,214,15,2,4,9,55,4,42,28,16,18,8,22,39,56.4,28,12,23,65,70,3,2544,163,779,1385,392,27,4,2,50.0,50.0,1639,4923,51,3,9,17,19,0,142,27,50.0
47,marley aké_2001_udinese,Marley Aké,FRA,Marley,Aké,FW,,Udinese,Serie A,22,2001,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
48,nathan aké_1995_manchester city,Nathan Aké,NED,Nathan,Aké,DF,,Manchester City,Premier League,28,1995,22.7,2,4,2,0,0,1.2,3.7,24,116,18,2,20,5,25.0,0.10,0.40,2.5,2.5,0.12,-0.5,1716,92.1,8717,882,95.8,750,94.2,43,50.6,1.1,+0.8,10,148,5,1,1,11,36,6,26,16,15,8,3,13,20,65.0,17,2,14,40,54,0,2026,105,634,1116,281,38,10,5,50.0,30.0,1280,3501,43,1,2,10,18,0,119,46,62.2
49,ilias akhomach_2004_villarreal,Ilias Akhomach,MAR,Ilias,Akhomach,MF,FW,Villarreal,La Liga,19,2004,16.8,2,4,2,4,0,2.6,5.7,68,45,160,2,30,7,23.3,0.07,0.29,3.2,3.2,0.11,-1.2,372,77.3,1318,239,86.9,101,75.9,14,50.0,2.5,-0.6,21,20,24,6,4,29,57,3,36,21,11,16,9,10,20,50.0,10,2,13,49,13,0,745,12,89,271,403,70,128,57,44.5,46.1,491,2006,47,27,36,41,35,4,70,3,30.0
