,ID_full,Player,Nation,First Name,Last Name,Position Primary,Position Secondary,Squad,League,Age,Born,90s,Assists,G+A,Goals without Penalties,Yellow Cards,Red Cards,xAssistedGoals,npxG+xAG,Prog. Carries,Prog. Passes,Progressive Passes received,Goals,Shots,Shots on Target,Shots on Target %,Goals per Shot,Goals per Shot on Target,xG,npxG,npxG per Shot,npxG Over/Underperformance,Passes played,Pass %,Progressive Pass Distance,Short Passes Completed,% Short Passes Completed,Medium Passes Completed,% Medium Passes Completed,Long Passes Completed,% Long Passes Completed,xA,xA Over/Underperformance,Key Passes,Passes into final 1/3,Passes into Penalty Area,Crosses into Penalty Area,Through Balls,Crosses,Shot Creating Actions,Goal Creating Actions,Tackles,Tackles Won,Tackles in Defensive 3rd,Tackles in Midfield,Tackles in Attacking 3rd,Dribblers Tackled,Dribbles Challenged,% of dribblers tackled,Blocks,Shots Blocked,Interceptions,Tackles + Int,Clearances,Errors leading to shots,Touches,Touches own PA,Touches in Def. 1/3,Touches in Midfield,Touches in Final 1/3,Touches Opp. PA,Take-Ons Attempted,Take-Ons Completed,% Successful Take-Ons,% Tackled during Take-Ons,Carries,Progressive Carries Distance,Carries into final 1/3,Carries into Penalty Area,Dispossesed,Fouls Committed,Fouls drawn,Offsides,Ball Recoveries,Aerials won,% Aerials won
0,max aarons_2000_bournemouth,Max Aarons,ENG,Max,Aarons,DF,,Bournemouth,Premier League,23,2000,13.7,1,1,0,1,0,0.8,0.9,22,43,26,0,2,0,0.0,0.00,0,0.0,0.0,0.02,0.0,450,77.5,2789,220,88.7,188,80.0,34,54.0,0.9,+0.2,7,25,13,2,2,13,23,2,29,19,20,7,2,20,34,58.8,9,5,8,37,27,0,711,43,252,303,165,11,34,14,41.2,35.3,364,1121,12,7,8,12,26,2,75,5,31.3
1,brenden aaronson_2000_union berlin,Brenden Aaronson,USA,Brenden,Aaronson,MF,FW,Union Berlin,Bundesliga,22,2000,14.1,2,4,2,3,1,1.9,3.8,37,56,91,2,18,7,38.9,0.11,0.29,2.0,2.0,0.11,0.0,365,77.3,1506,206,85.8,105,80.8,19,59.4,2.0,+0.1,22,30,14,3,5,22,53,8,32,18,13,13,6,16,32,50.0,26,1,2,34,4,0,675,11,108,301,293,47,77,34,44.2,53.2,406,1387,29,9,38,15,25,5,88,13,44.8
2,paxten aaronson_2003_eint frankfurt,Paxten Aaronson,USA,Paxten,Aaronson,MF,,Eint Frankfurt,Bundesliga,19,2003,1.1,1,1,0,0,0,0.1,0.2,2,5,7,0,2,2,100.0,0.00,0.00,0.1,0.1,0.06,-0.1,41,82.0,71,20,80.0,20,90.9,0,0.0,0.1,+0.9,1,4,2,0,0,0,1,1,2,2,1,1,0,1,1,100.0,2,0,0,2,0,0,72,0,6,39,28,5,7,2,28.6,57.1,43,50,0,1,4,6,4,0,5,3,100.0
3,keyliane abdallah_2006_marseille,Keyliane Abdallah,FRA,Keyliane,Abdallah,FW,,Marseille,Ligue 1,17,2006,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,100.0,0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
4,yunis abdelhamid_1987_reims,Yunis Abdelhamid,MAR,Yunis,Abdelhamid,DF,,Reims,Ligue 1,35,1987,30.9,0,4,3,5,0,0.3,2.9,36,137,9,4,21,7,33.3,0.14,0.43,3.4,2.6,0.13,+0.4,1552,84.5,9672,487,88.9,893,91.5,141,56.0,0.6,-0.3,8,129,3,0,2,3,24,1,64,35,36,23,5,26,45,57.8,51,32,39,103,109,2,2185,293,976,1119,114,35,15,8,53.3,46.7,1506,4921,19,0,4,26,12,0,149,61,62.2
5,salis abdul samed_2000_lens,Salis Abdul Samed,GHA,Salis,Abdul Samed,MF,,Lens,Ligue 1,23,2000,16.9,0,0,0,2,0,0.5,1.3,9,78,20,0,5,0,0.0,0.00,0,0.8,0.8,0.17,-0.8,796,88.9,3008,393,90.8,330,91.7,41,75.9,1.1,-0.5,6,87,5,2,0,3,27,3,21,14,8,10,3,8,18,44.4,12,1,12,33,18,0,1022,21,168,647,218,7,19,7,36.8,57.9,823,1683,33,0,11,34,16,0,89,2,22.2
6,nabil aberdin_2002_getafe,Nabil Aberdin,FRA,Nabil,Aberdin,DF,,Getafe,La Liga,20,2002,2.0,0,0,0,0,0,0.0,0.0,0,7,0,0,0,0,0,0,0,0.0,0.0,0,0.0,60,75.9,426,22,84.6,29,85.3,7,41.2,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,4,0,87,4,37,49,1,1,0,0,0,0,47,183,0,0,1,1,1,0,10,4,40.0
7,laurent abergel_1993_lorient,Laurent Abergel,FRA,Laurent,Abergel,MF,,Lorient,Ligue 1,30,1993,31.8,1,3,2,4,0,2.2,3.3,38,194,51,2,26,11,42.3,0.08,0.18,1.1,1.1,0.04,+0.9,1551,84.5,8613,629,89.0,711,88.7,150,64.4,1.9,-1.2,30,188,23,3,6,34,81,5,85,52,43,34,8,38,96,39.6,29,6,61,146,61,3,2164,105,553,1288,349,10,65,44,67.7,27.7,1649,3892,49,3,30,36,36,1,226,15,51.7
8,matthis abline_2003_nantes,Matthis Abline,FRA,Matthis,Abline,FW,,Nantes,Ligue 1,20,2003,11.6,0,5,5,1,0,2.0,5.8,28,20,87,5,42,19,45.2,0.12,0.26,3.8,3.8,0.09,+1.2,162,70.1,448,91,71.1,52,76.5,9,81.8,0.9,-2.0,17,6,7,2,2,7,38,2,9,4,4,3,2,3,8,37.5,3,0,3,12,5,0,386,9,36,153,209,65,33,19,57.6,42.4,294,906,24,14,14,10,13,6,39,15,35.7
9,abner_2000_betis,Abner,BRA,Abner,,DF,,Betis,La Liga,23,2000,15.6,1,1,0,3,0,1.0,1.1,14,33,58,0,4,0,0.0,0.00,0,0.1,0.1,0.03,-0.1,615,77.2,4552,351,89.1,203,76.6,37,46.8,1.0,0.0,8,20,7,2,0,26,14,0,25,19,15,9,1,17,34,50.0,23,5,15,40,62,0,966,72,344,405,226,28,13,7,53.8,38.5,447,949,10,5,11,16,2,2,79,14,58.3
